City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Muzhi,RU,2021-10-16 13:37:33,65.3667,64.6667,42.93,77,100,12.82,overcast clouds
136,Mount Gambier,AU,2021-10-16 13:37:34,-37.8333,140.7667,48.11,93,90,3.44,overcast clouds
137,Bonga,ET,2021-10-16 13:37:34,7.2833,36.2333,68.32,71,100,1.54,overcast clouds
138,Pangnirtung,CA,2021-10-16 13:34:36,66.1451,-65.7125,31.69,53,5,5.3,clear sky
139,Broome,US,2021-10-16 13:37:35,42.2506,-75.833,70.38,89,90,10.0,overcast clouds
140,Kaabong,UG,2021-10-16 13:37:35,3.4836,34.1492,78.69,39,78,8.86,broken clouds
141,Port Antonio,JM,2021-10-16 13:37:36,18.18,-76.4612,85.91,72,11,2.04,few clouds
142,Portland,US,2021-10-16 13:34:09,45.5234,-122.6762,50.7,94,40,5.75,scattered clouds
143,Korla,CN,2021-10-16 13:37:36,41.7597,86.1469,54.37,32,6,3.51,clear sky
144,Nova Olimpia,BR,2021-10-16 13:37:37,-14.7972,-57.2881,69.24,89,100,6.17,overcast clouds
145,Maningrida,AU,2021-10-16 13:37:37,-12.0667,134.2667,82.22,76,32,6.78,scattered clouds
146,Tessalit,ML,2021-10-16 13:37:38,20.1986,1.0114,99.72,7,2,6.76,clear sky
147,Senneterre,CA,2021-10-16 13:37:38,48.3835,-77.2328,52.02,95,100,9.13,moderate rain
148,Hammond,US,2021-10-16 13:36:24,41.5834,-87.5,49.21,78,1,4.0,clear sky
149,Haines Junction,CA,2021-10-16 13:37:39,60.7522,-137.5108,13.95,92,28,0.0,scattered clouds
150,Cabo San Lucas,MX,2021-10-16 13:37:39,22.8909,-109.9124,73.15,74,36,3.78,scattered clouds
151,Rio Grande,BR,2021-10-16 13:37:39,-32.035,-52.0986,62.71,60,14,15.79,few clouds
152,Kvareli,GE,2021-10-16 13:37:40,41.9524,45.8151,64.67,78,0,1.9,clear sky
153,Panjab,AF,2021-10-16 13:37:41,34.388,67.0233,48.2,12,5,5.06,clear sky
154,Rabo De Peixe,PT,2021-10-16 13:37:41,37.8,-25.5833,71.11,83,40,11.5,scattered clouds
155,Cockburn Town,TC,2021-10-16 13:35:53,21.4612,-71.1419,81.46,71,62,6.11,broken clouds
156,Mitsamiouli,KM,2021-10-16 13:37:41,-11.3847,43.2844,80.89,65,75,11.5,broken clouds
157,Porto Santo,PT,2021-10-16 13:37:42,33.072,-16.3415,75.58,64,20,8.05,few clouds
158,Obera,AR,2021-10-16 13:37:42,-27.4871,-55.1199,62.11,78,97,5.68,overcast clouds
159,Waddan,LY,2021-10-16 13:37:43,29.1614,16.139,77.86,24,0,4.74,clear sky
160,Ixtapa,MX,2021-10-16 13:37:43,20.7,-105.2,77.23,78,75,2.3,broken clouds
161,Funadhoo,MV,2021-10-16 13:37:44,6.15,73.2667,81.79,80,100,25.5,overcast clouds
162,Hopkinsville,US,2021-10-16 13:34:00,36.8656,-87.4886,53.06,90,0,11.12,clear sky
163,Lucapa,AO,2021-10-16 13:37:44,-8.4192,20.7447,82.98,51,99,10.4,overcast clouds
164,Sola,VU,2021-10-16 13:37:45,-13.8833,167.55,80.44,77,93,4.79,overcast clouds
165,Altamira,BR,2021-10-16 13:37:45,-3.2033,-52.2064,84.29,74,75,4.61,broken clouds
166,Blora,ID,2021-10-16 13:37:45,-6.9698,111.4186,82.09,68,99,5.28,overcast clouds
167,Mococa,BR,2021-10-16 13:37:46,-21.4678,-47.0047,80.96,63,100,4.99,overcast clouds
168,Tromso,NO,2021-10-16 13:37:47,69.6496,18.957,38.37,81,40,6.91,scattered clouds
169,Marapanim,BR,2021-10-16 13:37:47,-0.7175,-47.6997,89.29,56,97,8.59,overcast clouds
170,Ronne,DK,2021-10-16 13:37:48,55.1009,14.7066,53.51,62,75,23.02,broken clouds
171,Mogadishu,SO,2021-10-16 13:35:04,2.0371,45.3438,84.07,84,40,17.27,scattered clouds
172,Kamariotissa,GR,2021-10-16 13:37:48,40.4833,25.4667,68.05,68,98,6.85,overcast clouds
173,Los Llanos De Aridane,ES,2021-10-16 13:37:49,28.6585,-17.9182,73.15,85,4,5.75,volcanic ash
174,Yulara,AU,2021-10-16 13:37:49,-25.2406,130.9889,78.64,11,82,6.91,broken clouds
175,Codrington,AU,2021-10-16 13:37:50,-38.2667,141.9667,50.74,85,100,6.87,overcast clouds
176,Brae,GB,2021-10-16 13:37:50,60.3964,-1.353,49.91,73,100,8.43,overcast clouds
177,Port Hardy,CA,2021-10-16 13:37:51,50.6996,-127.4199,50.18,93,90,2.3,light rain
178,Vadso,NO,2021-10-16 13:37:51,70.0744,29.7487,41.88,87,75,21.85,light rain
179,Bucerias,MX,2021-10-16 13:37:52,20.75,-105.3333,77.99,78,75,2.3,broken clouds
180,Fairbanks,US,2021-10-16 13:37:52,64.8378,-147.7164,28.22,91,90,0.0,light snow
181,Vao,NC,2021-10-16 13:37:53,-22.6667,167.4833,71.96,89,100,9.93,overcast clouds
182,Luderitz,NA,2021-10-16 13:37:53,-26.6481,15.1594,68.02,42,0,37.36,clear sky
183,La Rioja,ES,2021-10-16 13:36:06,42.25,-2.5,66.04,41,79,7.38,broken clouds
184,Khatanga,RU,2021-10-16 13:37:54,71.9667,102.5,3.56,96,99,7.52,overcast clouds
185,Lindi,TZ,2021-10-16 13:37:55,-10.0,39.7167,81.54,64,50,10.09,scattered clouds
186,Xichang,CN,2021-10-16 13:37:55,27.8964,102.2634,56.1,80,100,2.19,overcast clouds
187,Deputatskiy,RU,2021-10-16 13:37:55,69.3,139.9,-6.02,100,100,1.79,overcast clouds
